# Code,Name,Longitude,Latitude,Altitude
-1,Arecibo (300-m 1963 to 2020),293.2473068,18.3442199,0.45334
-2,Haystack (37-m),288.5118390,42.6232970,0.11669
-9,Green Bank (100-m GBT),280.1601614,38.4331291,0.82364
-13,DSS-13 (34-m BWG R&D),243.2055410,35.2471643,1.07044
-14,DSS-14 (70-m),243.1104618,35.4259009,1.00139
-34,DSS-34 (34-m BWG),148.9819644,-35.3984788,0.69202
-35,DSS-35 (34-m BWG),148.9814558,-35.3957955,0.69490
-36,DSS-36 (34-m BWG),148.9785442,-35.3951018,0.68550
-38,Evpatoria (70-m),33.1869540,45.1891530,0.06900
-43,DSS-43 (70-m),148.9812673,-35.4024242,0.68887
-47,DSS-47 (ATCA ref. W196),149.5501388,-30.3128846,0.23687
-73,Tromso (32-m EISCAT),19.2258700,69.5865000,0.11707
-74,Ceduna (30-m UTAS),133.8098322,-31.8676903,0.16466
-86,Usuda (64-m),138.3627624,36.1324029,1.53272
