obs_type,obs_mode,observer_type,obs_note_code,site_code,program_code,catalog_code,sub_frame,date_min,date_max,sigma,comment
OPTICAL,CCD|CMOS,*,*,*,*,*,*,*,*,1.00,Vereš et al. (2017) Table 3: Other/Catalog Known
OPTICAL,CCD|CMOS,*,*,*,*,UNK,*,*,*,1.50,Vereš et al. (2017) Table 3: Other/Catalog Unknown

OPTICAL,PHOTO|UNKNOWN,*,*,*,*,*,*,*,1890-01-01,10.00,Vereš et al. (2017) Table 5
OPTICAL,*,*,n,*,*,*,*,*,1890-01-01,10.00,Vereš et al. (2017) Table 5
OPTICAL,PHOTO|UNKNOWN,*,*,*,*,*,*,1890-01-01,1950-01-01,5.00,Vereš et al. (2017) Table 5
OPTICAL,*,*,n,*,*,*,*,1890-01-01,1950-01-01,5.00,Vereš et al. (2017) Table 5
OPTICAL,PHOTO|UNKNOWN,*,*,*,*,*,*,1950-01-01,*,2.50,Vereš et al. (2017) Table 5
OPTICAL,*,*,n,*,*,*,*,1950-01-01,*,2.50,Vereš et al. (2017) Table 5

OPTICAL,OCCULTATION,*,*,*,*,*,*,*,*,0.05,Weighting rule: Occultation
OPTICAL,PMT,*,*,*,*,*,*,*,*,0.20,Weighting rule: Photo-Multiplier Tube
OPTICAL,MERIDIAN,*,*,*,*,*,*,*,*,0.50,Vereš et al. (2017) Table 5: Transit circle
OPTICAL,ENCODER,*,*,*,*,*,*,*,*,0.75,Vereš et al. (2017) Table 5: Encoder
OPTICAL,MICRO,*,*,*,*,*,*,*,*,2.00,Vereš et al. (2017) Table 5: Micrometer
OPTICAL,TDI,*,*,*,*,*,*,*,*,1.50,Weighting rule: Time-delay integration
OPTICAL,*,SPACE_BASED,*,*,*,*,*,*,*,1.50,Vereš et al. (2017) Table 5: Satellite
OPTICAL,*,SPACE_BASED,*,248,*,*,*,*,*,0.20,Vereš et al. (2017) Table 5: Hipparcos
OPTICAL,VIDEO,*,*,*,*,*,*,*,*,1.00,Vereš et al. (2017) Table 5: Mini-normal place
OPTICAL,VIDEO,*,*,*,*,UNK,*,*,*,1.50,Weighting rule: Video catalog unknown

OPTICAL,CCD,*,*,703,*,*,*,*,2014-01-01,1.00,Vereš et al. (2017) Table 2: 703<2014
OPTICAL,CCD,*,*,703,*,*,*,2014-01-01,*,0.80,Vereš et al. (2017) Table 2: 703>2014
OPTICAL,CCD,*,*,691,*,*,*,*,2003-01-01,0.60,Vereš et al. (2017) Table 2: 691<2003
OPTICAL,CCD,*,*,691,*,*,*,2003-01-01,*,0.50,Vereš et al. (2017) Table 2: 691>2003
OPTICAL,CCD,*,*,644,*,*,*,*,2003-09-01,0.60,Vereš et al. (2017) Table 2: 644<2003-09
OPTICAL,CCD,*,*,644,*,*,*,2003-09-01,*,0.40,Vereš et al. (2017) Table 2: 644>2003-09

OPTICAL,CCD,*,*,704,*,*,*,*,*,1.00,Vereš et al. (2017) Table 3: 704
OPTICAL,CCD,*,*,G96,*,*,*,*,*,0.50,Vereš et al. (2017) Table 3: G96
OPTICAL,CCD,*,*,F51,*,*,*,*,*,0.20,Vereš et al. (2017) Table 3: F51
OPTICAL,CCD,*,*,G45,*,*,*,*,*,0.60,Vereš et al. (2017) Table 3: G45
OPTICAL,CCD,*,*,699,*,*,*,*,*,0.80,Vereš et al. (2017) Table 3: 699
OPTICAL,CCD,*,*,D29,*,*,*,*,*,0.75,Vereš et al. (2017) Table 3: D29
OPTICAL,CCD,*,*,C51,*,*,*,*,*,1.00,Vereš et al. (2017) Table 3: C51
OPTICAL,CCD,*,*,E12,*,*,*,*,*,0.75,Vereš et al. (2017) Table 3: E12
OPTICAL,CCD,*,*,608,*,*,*,*,*,0.60,Vereš et al. (2017) Table 3: 608
OPTICAL,CCD,*,*,J75,*,*,*,*,*,1.00,Vereš et al. (2017) Table 3: J75

OPTICAL,CCD,*,*,645,*,*,*,*,*,0.30,Vereš et al. (2017) Table 4: 645
OPTICAL,CCD,*,*,673,*,*,*,*,*,0.30,Vereš et al. (2017) Table 4: 673
OPTICAL,CCD,*,*,689,*,*,*,*,*,0.50,Vereš et al. (2017) Table 4: 689
OPTICAL,CCD,*,*,950,*,*,*,*,*,0.50,Vereš et al. (2017) Table 4: 950
OPTICAL,CCD,*,*,H01,*,*,*,*,*,0.30,Vereš et al. (2017) Table 4: H01
OPTICAL,CCD,*,*,J04,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: J04
OPTICAL,CCD,*,*,W84,*,*,*,*,*,0.50,Vereš et al. (2017) Table 4: W84
OPTICAL,CCD,*,*,G83,00|02,UCAC4|PPMXL,*,*,*,0.30,Vereš et al. (2017) Table 4: G83/UCAC-4 and PPMXL
OPTICAL,CCD,*,*,G83,00|02,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.20,Vereš et al. (2017) Table 4: G83/Gaia
OPTICAL,CCD,*,*,K92,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: LCO/K92
OPTICAL,CCD,*,*,K93,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: LCO/K93
OPTICAL,CCD,*,*,Q63,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: LCO/Q63
OPTICAL,CCD,*,*,Q64,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: LCO/Q64
OPTICAL,CCD,*,*,V37,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: LCO/V37
OPTICAL,CCD,*,*,W85,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: LCO/W85
OPTICAL,CCD,*,*,W86,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: LCO/W86
OPTICAL,CCD,*,*,W87,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: LCO/W87
OPTICAL,CCD,*,*,K91,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: LCO/K91
OPTICAL,CCD,*,*,E10,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: LCO/E10
OPTICAL,CCD,*,*,F65,*,*,*,*,*,0.40,Vereš et al. (2017) Table 4: LCO/F65
OPTICAL,CCD,*,*,Y28,*,PPMXL|Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.30,Vereš et al. (2017) Table 4: Y28/PPMXL and Gaia
OPTICAL,CCD,*,*,568,*,USNOB1,*,*,*,0.50,Vereš et al. (2017) Table 4: 568/USNO-B1.0 and USNO-B2.0 (USNO-B2.0 is not in the catalog list of IAU ADES)
OPTICAL,CCD,*,*,568,*,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.10,Vereš et al. (2017) Table 4: 568/Gaia
OPTICAL,CCD,*,*,568,*,PPMXL,*,*,*,0.20,Vereš et al. (2017) Table 4: 568/PPMXL
OPTICAL,CCD,*,*,T09,*,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.10,Vereš et al. (2017) Table 4: T09/Gaia
OPTICAL,CCD,*,*,T12,*,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.10,Vereš et al. (2017) Table 4: T12/Gaia
OPTICAL,CCD,*,*,T14,*,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.10,Vereš et al. (2017) Table 4: T14/Gaia
OPTICAL,CCD,*,*,309,00|0l,UCAC4|PPMXL,*,*,*,0.30,Vereš et al. (2017) Table 4: 309/UCAC-4 and PPMXL
OPTICAL,CCD,*,*,309,00|0l,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.20,Vereš et al. (2017) Table 4: 309/Gaia

OPTICAL,CCD,*,*,F52,*,*,*,*,*,0.20,Station rule: F52 default
OPTICAL,CCD,*,*,F51,15,*,*,*,*,1.00,Station rule: F51 packed program Z
OPTICAL,CCD,*,*,F52,15,*,*,*,*,1.00,Station rule: F52 packed program Z
OPTICAL,CCD,*,*,G96,15,*,*,*,*,1.00,Station rule: G96 packed program Z
OPTICAL,CCD,*,*,703,15,*,*,*,*,1.00,Station rule: 703 packed program Z
OPTICAL,CCD,*,*,291,*,*,*,*,2003-01-01,0.60,Station rule: 291 before 2003
OPTICAL,CCD,*,*,291,*,*,*,2003-01-01,*,0.50,Station rule: 291 from 2003
OPTICAL,CCD,*,*,T05,*,*,*,*,*,0.80,Station rule: T05
OPTICAL,CCD,*,*,T07,*,*,*,*,*,0.80,Station rule: T07
OPTICAL,CCD,*,*,T08,*,*,*,*,*,0.80,Station rule: T08
OPTICAL,CCD,*,*,M22,*,*,*,*,*,0.80,Station rule: M22
OPTICAL,CCD,*,*,W68,*,*,*,*,*,0.80,Station rule: W68

OPTICAL,CCD,*,*,568,*,*,*,*,*,0.50,Station rule: 568 default
OPTICAL,CCD,*,*,568,0T,UCAC4|PPMXL,*,*,*,0.25,Station rule: 568 packed program underscore UCAC4 or PPMXL
OPTICAL,CCD,*,*,568,0T,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.15,Station rule: 568 packed program underscore Gaia
